Date / Time,City,State,Shape,Duration,Summary,Posted
8/23/16 17:30,Kansas City/Columbia (between),MO,Triangle,10 minutes (flyover),"I-70/MM 90, I saw two low-flying triangular crafts. They were massive and appeared to be flat. ((NUFORC Note: B2 bombers. PD))",42607
8/23/16 15:30,Comer's Rock (near),VA,Triangle,30 minutes,"Triangular objects moving East within fast moving clouds at Comer's Rock campground, Grayson, VA",42643
8/23/16 10:30,Hilliard,OH,Triangle,30,((HOAX??)) the of us had seen it on the right side above a neighbor's house. ((anonymous report)),42607
8/22/16 22:23,Hossegor (France),,Triangle,1 second,Black silent hight speed triangle.,42607
8/21/16 21:40,Erie,CO,Triangle,3 minutes,"4 triangular shaped craft in formation, no lights, no noise.",42607
8/20/16 21:45,Southport,FL,Triangle,30 minutes,"Unusual space craft making erratic movements(turns) in the evening sky(21:45) , Aug 20th.2016 over Southport, FL.",42607
8/20/16 05:00,Meridian,ID,Triangle,2 hours,"Looked out my window at 5 am, saw a bright flashing coming from the UFO. It caught my attention when the flashes changed from blue.",42607
8/19/16 22:05,Red Lion,PA,Triangle,<1 minute,"Small craft, blue flashing lights, hovered, spun around, shot straight up, beautiful blue lights.",42607
8/19/16 21:00,Gosnell,AR,Triangle,15 minutes,"Black triangle, two white lights, one red blinking light.",42607
8/18/16 22:40,Atlantic City,NJ,Triangle,2 minutes,Large triangular craft seen over Rt. 30.,42601
8/18/16 20:30,Saint Simons Island,GA,Triangle,10-15 seconds,"Two fast, silent, red-orange triangles over St. Simons Island, Georgia.",42601
8/18/16 18:00,Torrington,CT,Triangle,5 seconds,"Strange object, gliding over my town.",42607
8/17/16 05:00,Baytown,TX,Triangle,2 minutes,Seen 3 bright white lights on each corner of the craft.. Stationary; as big as half of our football stadium. ((anonymous report)),42601
8/16/16 23:00,Port Saint Lucie,FL,Triangle,30,Unidentified craft circling my neighborhood.,42601
8/16/16 04:10,Edison,NJ,Triangle,Minutes (2 sightings),Lighted Triangular Crafts sighted within minutes of each other HIGH OVERHEAD.,42598
8/14/16 21:30,Ogallala,NE,Triangle,>15 minutes,Spotted Triangle of lights above No Name Bay at Lake McConaughey in Ogallala NE,42598
8/14/16 00:00,Chester,SC,Triangle,Hours,They are bright almost like a star and you can see changing lights around them.,42598
8/14/16,Buford,GA,Triangle,Until unseen,Large triangle. Only objects visible could have been a formation or one large ship; occurring for wks. ((anonymous report)),42601
8/13/16 21:00,Teston (UK/England),,Triangle,1 minute,Triangular object with white & blue lights.,42615
8/12/16 23:00,Fairfax,VA,Triangle,90 minutes,From about 23:00 to 00:30 I saw two triangle shaped figures in the sky. The appearance of the UFOs were that they had three white light,42598
8/12/16 04:00,Interstate 8,AZ,Triangle,10 minutes,"W on I-8, in AZ, E of Yuma at 4am. On my left, near an overpass, was a craft that looked to be size of car. ((anonymous report))",42598
8/12/16 01:00,Lincoln,RI,Triangle,20 minutes,Observed Bizarre UFO Hovering over Trees-Lake- & then Flew right over our head while watching the meteor shower.,42598
8/12/16 00:50,Rochester,NH,Triangle,1 hour+,((Daughter's report)) 3 lights connected by lines of light. Can't see stars though it. Moves in all directions.,42598
8/11/16 23:45,Rochester,NH,Triangle,2 hours,A large black triangle with three lights that hovered around us for over 2 hours. A solid object that made no sound.,42598
8/11/16 23:30,Three Oaks,MI,Triangle,2 minutes,Myself and 3 other friends seen a ufo coming across lake Michigan from Chicago area to Cherry beach. It was fast and silent. It stopped,42598
8/11/16 22:57,Stone Creek,OH,Triangle,,Three (maybe four) flashing lights in the formation of a triangle!,42598
8/11/16 22:30,Exeter,NH,Triangle,10 minutes,I see a bright white light far ahead in the sky. At first I thought it was just a plane. ((anonymous report)),42598
