,  Location,     Time,     Truth
2002, NORTHWEST,    NIGHT,  FIREBALL
2003,     SOUTH,  MORNING,  FIREBALL
2004,      WEST,    NIGHT,  FIREBALL
2005,      WEST,    NIGHT,  FIREBALL
2006,     SOUTH,AFTERNOON,  FIREBALL
2007,     SOUTH,    NIGHT,  FIREBALL
2008,   MIDWEST,    NIGHT,  FIREBALL
2009,      WEST,    NIGHT,  FIREBALL
2010,      WEST,    NIGHT,  FIREBALL
2011,     SOUTH,    NIGHT,  FIREBALL
2012,   MIDWEST,    NIGHT,  FIREBALL
2013,   MIDWEST,    NIGHT,  FIREBALL
2014,     SOUTH,    NIGHT,  FIREBALL
2015,     SOUTH,    NIGHT,  FIREBALL
2016,     SOUTH,    NIGHT,  FIREBALL
2017, NORTHWEST,    NIGHT,  FIREBALL
2018,     SOUTH,    NIGHT,  FIREBALL
2019, NORTHWEST,    NIGHT,  FIREBALL
2020,     SOUTH,    NIGHT,  FIREBALL
2021,   MIDWEST,    NIGHT,  FIREBALL
2022,   MIDWEST,    NIGHT,  FIREBALL
2023,   MIDWEST,    NIGHT,  FIREBALL
2024,      WEST,    NIGHT,  FIREBALL
2025,      WEST,    NIGHT,  FIREBALL
2026,     SOUTH,    NIGHT,  FIREBALL
2027,     SOUTH,  MORNING,  FIREBALL
2028,     SOUTH,  MORNING,  FIREBALL
2029,      WEST,  MORNING,  FIREBALL
2030,      WEST,    NIGHT,  FIREBALL
2031, NORTHWEST,    NIGHT,  FIREBALL
2032,     SOUTH,    NIGHT,  FIREBALL
2033,     SOUTH,    NIGHT,  FIREBALL
2034,     SOUTH,    NIGHT,  FIREBALL
2035,     SOUTH,    NIGHT,  FIREBALL
2036,     SOUTH,    NIGHT,  FIREBALL
2037,      WEST,    NIGHT,  FIREBALL
2038,   MIDWEST,    NIGHT,  FIREBALL
2039,     SOUTH,    NIGHT,  FIREBALL
2040, NORTHWEST,    NIGHT,  FIREBALL
2041,     SOUTH,    NIGHT,  FIREBALL
2042,      WEST,    NIGHT,  FIREBALL
2043,      WEST,    NIGHT,  FIREBALL
2044, NORTHWEST,    NIGHT,  FIREBALL
2045, NORTHWEST,    NIGHT,  FIREBALL
2046, NORTHWEST,    NIGHT,  FIREBALL
2047,   MIDWEST,    NIGHT,  FIREBALL
2048,     SOUTH,  MORNING,  FIREBALL
2049,      WEST,    NIGHT,  FIREBALL
2050,      WEST,    NIGHT,  FIREBALL
2051,      WEST,    NIGHT,  FIREBALL
2052,   MIDWEST,    NIGHT,  FIREBALL
2053,   MIDWEST,    NIGHT,  FIREBALL
2054,     SOUTH,    NIGHT,  FIREBALL
2055, NORTHWEST,    NIGHT,  FIREBALL
2056,   MIDWEST,    NIGHT,  FIREBALL
2057,     SOUTH,  MORNING,  FIREBALL
2058,      WEST,    NIGHT,  FIREBALL
2059,      WEST,    NIGHT,  FIREBALL
2060,     SOUTH,    NIGHT,  FIREBALL
2061,      WEST,AFTERNOON,  FIREBALL
2062, NORTHWEST,    NIGHT,  FIREBALL
2063, NORTHWEST,    NIGHT,  FIREBALL
2064,      WEST,    NIGHT,  FIREBALL
2065,   MIDWEST,    NIGHT,  FIREBALL
2066,   MIDWEST,    NIGHT,  FIREBALL
2067,   MIDWEST,  MORNING,  FIREBALL
2068,   MIDWEST,    NIGHT,  FIREBALL
2069,   MIDWEST,    NIGHT,  FIREBALL
2070, NORTHWEST,    NIGHT,  FIREBALL
2071, NORTHWEST,    NIGHT,  FIREBALL
2072,   MIDWEST,    NIGHT,  FIREBALL
2073,     SOUTH,    NIGHT,  FIREBALL
2074,   MIDWEST,    NIGHT,  FIREBALL
2075,   MIDWEST,    NIGHT,  FIREBALL
2076,   MIDWEST,AFTERNOON,  FIREBALL
2077,     SOUTH,    NIGHT,  FIREBALL
2078,   MIDWEST,    NIGHT,  FIREBALL
2079,     SOUTH,    NIGHT,  FIREBALL
2080, NORTHWEST,    NIGHT,  FIREBALL
2081,      WEST,  MORNING,  FIREBALL
2082,      WEST,    NIGHT,  FIREBALL
2083,      WEST,    NIGHT,  FIREBALL
2084,     SOUTH,    NIGHT,  FIREBALL
2085,      WEST,    NIGHT,  FIREBALL
