Date / Time,City,State,Shape,Duration,Summary,Posted
8/23/16 22:20,Holland,MI,Fireball,<1 minute,2 bright orange/red balls moving SSE to NNW (one after the other) across sky in approximately 10 seconds.,42607
8/22/16 02:49,Perris,CA,Fireball,>20 minutes,Orange light in sky that makes explosion sounds.,42607
8/22/16 00:30,Hibbing,MN,Fireball,30 seconds,"Seen a glowing object, kind of at first looked triangular then turned into more of a fire ball look. Glowing.",42607
8/20/16 22:30,Jamestown,PA,Fireball,2-3 minutes,Four fireball orbs visible over Pymatuning Lake.,42607
8/20/16 20:22,Hazel Crest,IL,Fireball,3 minutes and 20 seconds,10-12 yellow/orange fireballs moving in strange formation no sound and sequentially disappearing.,42607
8/19/16 22:00,Fort Pierce,FL,Fireball,0.0833333333,"From my backyard in Fort Pierce/Lakewood Park we witnessed a fireball over the East Coast coming from N, heading S.",42607
8/19/16 06:30,Pompano Beach,FL,Fireball,Few seconds,Green Fireball spotted over Pompano Beach in the Morning.,42611
8/19/16 00:55,Vero Beach,FL,Fireball,10 minutes,Fireball looking UFO hovered near us on beach,42615
8/19/16 00:54,Boca Raton,FL,Fireball,2 minutes,"Silent fireball like object slowly flew across sky, then darted off to the east, like a shooting star, leaving our atmosphere.",42601
8/18/16 21:00,Mesa,AZ,Fireball,2 seconds,"Green, bright, ball falling from sky, Mesa, AZ.",42601
8/18/16 20:20,Los Angeles,CA,Fireball,10 seconds,"NEON GREEN STREAK OVER PICO FAIRFAX (L.A.), OVER FULL MOON.",42601
8/17/16 21:30,Wesley Chapel,FL,Fireball,0.1145833333,Two red balls of fire rise into the sky...hover...and fly away from us.,42601
8/16/16 22:15,Gaylord,MI,Fireball,1 minute,"Lights in the sky over Gaylord, MI.",42601
8/15/16 21:36,San Diego,CA,Fireball,1 minute,Flashing fireball slowly moving over Mission Valley around 9:36 pm on Monday night 8/15/2016. Looked like the flash of fire wold repeat,42598
8/15/16 21:00,Laguna Beach,CA,Fireball,15 minutes total,Comet-like UFO's with shimmery tales over the ocean turning on and off. ((anonymous report)),42601
8/14/16 22:40,Wassaic,NY,Fireball,15 seconds,"Fireball above Wassaic, NY.",42598
8/12/16 19:40,Kalawana (Sri Lanka),,Fireball,4 seconds,"The craft was a ball in shape, and had a very bright flash around. The flash could make the sky as daylight time.",42601
8/11/16 22:30,South Gate,CA,Fireball,20 seconds,Look up at the sky to see a ball of green blue light dash quickly across and disappear. ((anonymous report)),42598
8/10/16 03:30,Avon,MA,Fireball,4 seconds,I was getting of exit 19 off of 24 south heading into Avon when I saw a green fireball shooting down only a few hundred feet from the g,42598
8/9/16 00:30,Pawleys Island,SC,Fireball,1 second,Red flare-like object appeared 15-30 degrees above horizon. The object proceeded towards the horizon line at an extremely high speed. A,42598
8/8/16 23:45,Emerald Isle,NC,Fireball,5-8 seconds,"Yellow Orangish fireball observed over Emerald Isle, NC. ((anonymous report))",42598
8/8/16 22:15,Sheridan,WY,Fireball,54 seconds,"Glowing ball of light moved slowly across sky 8/9/16 in UFO in Sheridan, WY.",42598
8/7/16 23:24,Cement City,MI,Fireball,1 minute,"A ball of light, followed by fire, went through the sky and stopped to blend in as a star.",42598
8/6/16 20:50,New Lenox,IL,Fireball,3 minutes,About a dozen fireballs passing overhead in single file but irregularly spaced. ((anonymous report)),42598
8/5/16 23:45,Coweta,OK,Fireball,10 seconds,Basketball sized dull reddish orange Orb flew decidedly around tree tops and past my 3rd story apartment balcony.,42611
8/5/16 21:46,Mason,WV,Fireball,2 minutes,Bright red object seen in sky. ((anonymous report)),42598
8/3/16 02:30,Mackinaw City,MI,Fireball,30,"orange ball of fire moving in all directions and complete stops, and restarts straits of mackinaw",42598
